apodo;pais;identificador;correo
Bear;CR;1;Bear@email.com
Cutie_pie;TL;2;Cutie_pie@gmail.com
Lulu_the_Average;BE;3;Lulu_the_Average@vtr.net
Gordito;TV;4;Gordito@email.com
Perejil;HK;5;Perejil@email.com
Slayer;VA;6;Slayer@yahoo.com
Beetle;BM;7;Beetle@gmail.com
Tere;SE;8;Tere@vtr.net
Agnes;CZ;9;Agnes@hotmail.com
Chiclete;DJ;10;Chiclete@yahoo.com
Elsa_lami;BO;11;Elsa_lami@email.com
Muchacho;ML;12;Muchacho@hotmail.com
Hulk;NA;13;Hulk@hotmail.com
BillyTheKid;PY;14;BillyTheKid@gmail.com
TimeBandit;TN;15;TimeBandit@hotmail.com
Gams;TH;16;Gams@hotmail.com
Bud;PY;17;Bud@gmail.com
Slick;PY;18;Slick@vtr.net
Dulce;ST;19;Dulce@hotmail.com
Terminator;GW;20;Terminator@vtr.net
Cat;CY;21;Cat@yahoo.com
Haddes;TG;22;Haddes@gmail.com
Brown_Sugar;YT;23;Brown_Sugar@vtr.net
Elflike_Lulu;ZA;24;Elflike_Lulu@gmail.com
Baduk;YE;25;Baduk@hotmail.com
Prego;GE;26;Prego@hotmail.com
Fedbob;PH;27;Fedbob@gmail.com
Pyscho;CY;28;Pyscho@gmail.com
Tickles;AZ;29;Tickles@gmail.com
Big_Train;PW;30;Big_Train@vtr.net
Guy;ST;31;Guy@yahoo.com
Aspen;SZ;32;Aspen@hotmail.com
Tough_Guy;GQ;33;Tough_Guy@vtr.net
Dottie;SX;34;Dottie@vtr.net
Elsa_mmy;ID;35;Elsa_mmy@vtr.net
Pepe;CF;36;Pepe@yahoo.com
Bruiser;TT;37;Bruiser@email.com
Missandei;MM;38;Missandei@yahoo.com
Gigi;MW;39;Gigi@hotmail.com
Anvil;OM;40;Anvil@email.com
Fedy;TM;41;Fedy@yahoo.com
Pipo;NG;42;Pipo@hotmail.com
Fun_Size;CY;43;Fun_Size@vtr.net
Capi;ST;44;Capi@email.com
Frightening_Federico;CA;45;Frightening_Federico@hotmail.com
Baby_Bird;ST;46;Baby_Bird@vtr.net
Gaia;LY;47;Gaia@vtr.net
Awake;SO;48;Awake@hotmail.com
Elessar;AR;49;Elessar@email.com
Satchel;BL;50;Satchel@gmail.com
Lulu_the_Leaden;BJ;51;Lulu_the_Leaden@email.com
LakeBell;NI;52;LakeBell@yahoo.com
Cheddar;YE;53;Cheddar@yahoo.com
Coolish_Lulu;NI;54;Coolish_Lulu@yahoo.com
SonicMaster;VC;55;SonicMaster@email.com
Microwave;SM;56;Microwave@vtr.net
Whiplash;YE;57;Whiplash@hotmail.com
Lefty;HU;58;Lefty@yahoo.com
Speedy;EG;59;Speedy@hotmail.com
Dudu;YE;60;Dudu@hotmail.com
